username,rating,time,votes,comment
爬行钢炮,5,2019-06-18 08:06:33,256,最初看完第一季，其实感觉不太好，莫名其妙，而且男主像个脑残只会哭和问为什么。所以放下了很久。直到第三季开播，才无意间看了第二季，剧情突飞猛进，人物合理性也有了，每一集都无比抓人，接连不断的谜题把墙内的现实推进深渊，可又偶尔有光亮照进去。这样直到猛看完第三季part1，做梦一样不愿醒来。part2更是直指巨人史上最佳，每一集都把我炸成了花。随着艾尔迪亚人的历史被揭开，巨人想传达的信息更加明了。尽管暴力像人类文明的毒瘤，经久作痛，深受其害者人人得而诛之。但这个世界，在这个世界里窒息的我，都谈不上对和错。因为原来杀戮不是毒瘤，人性本身才是。今朝是你，明朝是我，刀子只是流转于不同人之手。如何直面残酷的人类史，在更广阔的意义上使人类整体从这个噩梦中惊醒，才是远超艾尔迪亚人与马莱人宿仇的问题。
赤朽叶流名,5,2019-05-02 11:50:17,177,奇行种真是越来越骚
我的团长我的团,5,2019-05-28 22:40:30,221,只有五星嘛，打出来像低分一样。。。
ONE,5,2019-05-09 14:00:32,300,去你妹的权游 还是巨人给力
qaq,5,2019-05-27 11:53:39,259,奈何本人没文化，一句卧槽行天下
Selene 葱,5,2019-06-18 16:59:07,215,就这样成为了利威尔粉丝团的粉头，为了下一季动画的制作质量我他妈愿意投资，我为自己居然看的是免费资源感到可耻，我何德何能能免费看这种作品。请有点素质乖乖打五星好吗？
黛玉晴雯子,5,2019-05-21 08:24:46,200,“这一切都没有意义，不管抱持什么梦想或希望，不管过上多幸福的人生，还是被岩石砸碎身体，都一样。人类总有一天会死，那么人生是毫无意义的吗？降生在这世上本身就是毫无意义的吗？死去的同伴也是吗？那些士兵的死，也是毫无意义的吗？不，不对！为那些士兵赋予生存意义的是我们，那些勇敢的死者，能够悼念他们的，是身为生者的我们！我们将会在这死去，将意义托付给下一个生存者，这正是唯一一个能够对付这残酷世界的方法。士兵们愤怒吧！士兵们高呼吧！士兵们战斗吧！” 枯惹
春夜血,5,2019-05-07 13:15:08,251,权游崩了，巨人依照原著世界观越来越大，却依然神作无疑。第一集简直节奏爆炸
十三th,5,2019-05-03 13:40:52,327,“这个制作组已经屌到让人觉得强悍是一件理所当然的事情了”
Momsenavy,5,2019-05-27 07:29:59,236,五星哪里够！！！！！！！为什么不能打十星！！！！！！！！这是十年来除了钢炼fa以外唯一能称得上神作的啊！！！！！！
阿基米德追上龟,5,2022-08-15 15:25:04,84,墙内的记忆可以被抹去，历史课本可被篡改，所谓真相在不同立场间也会大相径庭。
我只有吉他了🎸,5,2022-06-11 21:42:27,76,难怪可以拿几乎满分的分数。当剧情已经推进到墙外，众人完成了当初的目标时，更加宏大的压抑的世界观才慢慢展开，真相的揭露带来的是另一种窒息。可以说的是，这个故事里面的所有人都是悲剧性的，所有人都被迫在命运和历史规律的安排下，决定自己的人生。这种与真实历史高度契合的叙事真是太牛逼了。
Medicine,5,2019-05-01 09:15:29,193,想摁着所有人的脑袋 都给我去看 55555
迟与缓,5,2019-06-10 15:25:35,147,一念高墙成，一念百草生，百年笼中鸟，片刻自由人。
王小札,5,2021-01-30 15:59:29,76,巨人之真相篇。像一团烟花历经多年装火搓捻得以燃放的绚烂爆炸。玛利亚之墙夺回战的高潮段落臻于巅峰，甚连杀死角色的方式都令人唏嘘叹服。利威尔面临埃尔文与阿尔敏生死电车难题，在前者心念的地下室与后者向往的大海之间何去何从。小兵马尔洛赴死冲锋时想着希琪大概还在睡懒觉，应了可怜无定河边骨，犹是深闺梦里人。格里沙的前半生裹着自身的多舛命运随真相决堤而下。史书是真实历史还是当权者的工具呢，在是否要公布调查兵团取得的外界真相时，想起了理想国的洞穴隐喻。帕拉迪岛太像战后日本了，大陆的艾尔迪亚民族又杂糅了种族隔离，有时捕嗅到谏山创身上三岛由纪夫的碎片。艾伦从对巨人的仇恨到悲悯的蜕变。要杀光海对面的敌人吗，当自身的力量为世人所惧斥，是逃避偏安还是重蹈罪恶？这是一个问题。
陨落星辰,5,2019-06-04 11:12:15,174,太燃了这一季！团长那段堪称动漫史上的洗脑巅峰
不死鳥,5,2021-10-08 17:23:36,91,21世纪有什么二次元作品深度超过巨人的吗？没有。即便是那样子的结局。
哈莉露鸭,5,2022-05-22 20:37:25,64,我觉得论成熟度来说，这一part应该是整个系列里最优秀的。
Fleurs.哼哼,5,2019-07-24 21:14:40,81,"无论《自由之翼》的创作灵感来自何种文化，取材于哪段历史，嵌入了多少隐喻，鞭挞了多少现实。
它注定刻在了“伟大”上。
不客气的说，如果将动漫转化成文本，不敢说比肩“反乌托邦三部曲”，和权游过招也不落下风，特别是剧版烂尾的情况下那就是吊打了～"
不列颠之主,5,2019-06-07 01:28:34,125,目前已经补到了漫画最新话，用人格保证只要制作不出问题这一定是比肩eva，钢炼的神作
kiki,5,2019-04-29 17:55:44,150,就是里维士官长再厉害，也绝不是我们战士长的对手(◔◡◔)
