username,rating,time,votes,comment
安德烈大叔,2,2018-08-11 11:46:08,24,三集弃
前苏联游魂,3,2018-07-23 13:46:10,79,观望中。第一集变成乡村阴谋的画风了？巨人杀人告一段落，变成人杀人。兵长才是隐藏男主角。
你也来看电影呀,3,2018-07-27 01:37:31,30,跟看幻灯片一样
落合扇言,5,2018-07-24 09:54:41,65,你大爷永远是你大爷。
透明人,3,2018-07-30 23:52:26,48,不管漫画怎样~我评的是动画的分，第三季和第二季衔接的太差了，而且剧情这么赶，看的一脸懵逼，站在房顶回忆开膛手，下一秒就从后面爬上来了，需要这么急么，像是临时加的剧情一样。
Radioactive,5,2018-07-26 22:56:48,42,终于等来第三季！！！我他妈吹爆！！能给十星吗！！！？
贺兰迈克,3,2019-02-18 07:40:40,34,比第二季煽情系泛滥有所改善，终于开始揭露世界背景但却掺杂进漏洞百出的中学生政变过家家。剧情推动略显后劲不足。
Neroat,4,2018-12-07 13:27:29,145,喜欢韩吉！第二集的利威尔太太太帅了吧反复看了n遍。巨人的谜团一步步在解开了，夺回玛利亚之墙吧。感觉会损失巨大，活下来的104期都没几个人了，等明年4月！
雨宫萤,4,2018-12-02 16:29:50,53,墙内的人类什么时候取回被篡改的记忆，找回失去的自由。
虾坨坨艺仔,5,2019-06-30 09:12:03,24,这故事写得真细啊，很多过去的伏笔都慢慢地在认真收。因为作者本身对军事的兴趣，特别会营造战争的那种绝望、悲壮和看不到意义的迷惘。本季至少看哭了5次吧......战争里没有谁是赢家。
Mr. Infamous,5,2020-02-19 12:15:10,17,人永远是世上最自私最可怕的生物。当外患姑且转向内忧，人与人之间的斗争更诛心，上狠下愚，无数熟悉的画面，越来越让我觉得自己活在那不再是“虚构”的九世纪中叶。不难理解为何本季虽然少了官能刺激（但E07的动作戏依旧燃爆），却更加令人胆寒。成熟速度总要慢人一拍的男主终于被官方吐槽三连杀，但成熟真是个难过的状态，他们诉说着回不去的以往，憧憬着始终没见过的大海，但只要一抹烽烟，谁也不知葬身何处。走向挺像《行尸走肉》漫画和游戏，在尸横遍野前，姑且记得那天他们曾在城墙，为民众的欢呼而雀跃过。（话说团长好像美队，boss好像戏精牡丹。）四星半。
星球日影,3,2018-07-26 14:10:24,28,跟一二季的画风有点不一样哎，话说艾伦怎么画的怎么丑。
[己注销],4,2018-10-16 23:43:17,22,（８／１０）这一季的主角实际上是兵长、女王、团长这三人，小天使一直在酱油……
沙力兔,4,2019-05-08 13:23:45,23,兵长这部说话变多啦！e2和e7都好多动作场面 兵长真的太帅了！！！身高已经不是问题！！真的 每次看到兵长和三笠 就特别安心~！（9.2018)
帕露,1,2018-08-10 08:12:56,66,"没有巨人看什么进击的巨人？

要反应人类内部的黑暗能和别的番剧比吗？扬短避长"
CANTDREAM,5,2018-09-18 17:31:09,61,前两季一直觉得艾伦这个男主着实废物，有力量用不出，是个爱哭鬼，但第三季7集我从此不再黑他，被锁在高台上的自白完全表明了他的内心里的自责、痛苦、恐惧、绝望，这本不该是他要去承受的。一个平凡人想努力得去救其他人，还有什么好指责的呢，哪怕是失败了。
Chaos,5,2018-07-23 08:06:02,51,终于更新了，这季24集，可以看半年了😘
𝙱𝚕𝚊𝚗𝚌𝚑𝚎,4,2018-07-24 06:09:59,23,不适应新op
饿霸地煮,5,2020-12-26 23:32:26,6,1、想象力来源于对历史和社会的理解。2、阈值总是升高，需要庶民的视角重新拉低。3、请从绝望处回想故事，结果倒推过程。4、要有欺骗感，欺骗感来自哲学。5、在复杂的故事都应从简单说起。
阿基米德追上龟,5,2022-08-15 09:58:22,9,阿尔敏为了救让杀死了宪兵然后反思到自己是不是杀了个更温柔的人，从立场不同的对战引出最终是反对腐朽的体制。
某J。624,4,2020-06-22 14:18:07,19,开始揭露各种伏笔了，铺垫基本上已经完全成型，气势恢宏的出发放在巨人这里只有一种山雨欲来的崩塌与不祥之兆，不过这才是巨人的魅力吧；人生而为蝼蚁，绝望无力挣扎周而复始。P.S.算是半个兵长主场，兵长的强大不止在于武力，最引人好感的是哪怕手握力量也从未对任何人的选择高高在上指手画脚。
momo（黑化版）,4,2018-09-20 20:36:21,13,分割了
阿北秘书一号,5,2018-09-17 00:17:12,26,为了追巨人我大概还能活几个月
波吃曼,5,2018-07-31 19:49:18,28,#A+ 简直吹爆这一季的画质和节奏，不敢相信一年的时间就能连着出两季还保持着高水准。兵长终于站到C位，一米六气场全开。结局如果拍到看海的话，下一季又要等很久惹
北泗,5,2018-07-24 14:11:57,20,五星预定，这是我仅剩的两部追剧中的一部，另一部是权力的游戏。（吹爆）
私～川流,5,2019-06-08 11:52:19,11,三季不烂，可以封神。
小药水,4,2019-07-10 18:42:53,7,从打巨人的爽快越来越向政治寓言和阴谋论靠近了，歌真好听。
小狗过河,5,2021-02-14 23:20:43,32,好嫉妒谏山创啊，他是真正创造出something outlives him的人
Haruko,3,2018-10-15 09:42:13,11,【7.0】一季25集的前后12集分割半年放送你还做你🐴的半年番呢，。制作水准和前两季完全不在一个档次上，绘柄大暴走，作画监督首先出来挨打。能坚持追到现在应该都不觉得现在的巨人是一部少年漫了，之后对剧情也会越来越硬核，谏山创沉迷政治寓言无法自拔，要想不劝退全看WIT有没有逼数。
Amor,3,2018-08-06 10:45:10,11,军国主义思想
梳子等河山,5,2018-09-13 23:07:56,21,台词越来越哲学，立意越来越深刻。看的时候不断思考人和人的立场关系。不能否认是部好作品
跳过露天粪坑,5,2019-04-29 12:20:18,13,"这俩月真好
妇联死完权游死
权游死完巨人死
还特么都集中在一起
再这样下去我也死了算了"
Fly  Away,5,2021-02-03 15:53:21,11,这一季涉及方面更多了，王族政治的问题，还有记忆篡改真的很反乌托邦，真正的敌人不光是抵御的外敌，还有内部的战争，伪造的神也是为了私利，不过在巨大的灾难面前，即使是一个伪神也能给人类带去些许慰籍和希望，这真的很《黑暗骑士》了。巨人在人物塑造面前也十分厉害，很多人物在看似对立面但也不是决定的反面，像凯尼这个人物，最后死的结局也很让人可惜，他也是个一生也为追求自由，没有明确贡主，也知道自己不能为人父母，生存只能靠力量的人，他教会兵长这样做，才有后面这样的勇猛的人吧
Kaili Urchins,4,2019-05-31 22:45:07,10,沉溺民工漫无法自拔。兵长上位男主艾伦这季只有约两集戏份我太开心了。OP好听过分
若小木,5,2020-12-05 16:59:36,16,阿尔敏为了能让计划成功在蒸气中咬牙坚持再到最后铁三角实现梦想见到心目中的大海，真的是哭死了，再一次为巨人的庞大剧情所感动，虽然很久以前就补过漫画，但是在看到动画还是会热泪盈眶啊，爱了爱了
天外飞青,5,2018-09-22 18:51:31,12,咨询泛滥的今天还有什么让人在意结局，还让人期待每一个下一秒的无限可能性，也唯有进击的巨人。到第三季了，甚至还记得初会的惊诧。一部动漫能保持这么长久的吸引力，实在难得。我觉得它抓住了某些事物的本质，人类内心对接受现实的觳觫。
Pro.kingsley,未评分,2018-07-27 08:38:22,11,"这一季的画风都变了, 整体明亮起来, 而且艾伦好像高了, 哈哈哈"
清舞翩翩,5,2018-08-26 11:36:54,17,无条件五☆废柴男主依旧飞舞，兵长一米六继续一打十。终于等到你，推翻政权，不愚忠，不盲从，命运在自己手里！！！
阿诺说,5,2019-01-18 20:52:21,14,能给十星吗！我最爱的是团长！
Aryatao,4,2018-11-23 00:15:50,5,荒木哲郎对剧情的节奏把控太好了吧……12集根本不够看的，之前的秘密与伏笔都有了交代，连贯性很棒。（摔爹神曲好评）
猫的莫咪跪神棍,5,2018-10-20 18:39:19,9,哦好吧我以为连更半年呢…那个ED我真的以为屏幕坏了…还是制作组狠！我这个对政治和人情毫无兴趣的人居然深深地被人斗给吸引了。
无红黄，不尽欢,5,2020-07-06 13:09:32,9,#还是个拼爹拼血统的世界啊#  || 站在这么多可爱又璀璨的女性角色中三笠显得薄如纸again
斯巴路曳,2,2018-11-26 18:25:09,18,这情节已经扯到漫无天际了，但是有第四季的话还是会继续看的，因为我想知道作者打算怎么扯到最后
好朋友陶德,5,2019-06-13 15:49:38,16,"进击的巨人主要卖点不是热血或者猎奇，而是前期的面对威胁时弱小的人类勾心斗角又相互取暖，后期的第一视角探索历史和世界观。在当下无脑燃的热血漫中独树一帜。
但相对的，随着世界逐渐明晰，趣味性会稍有降低。艾连变成的绿眼睛高大帅气的巨人嘶吼着破肚而出这种热血剧情会减少，取而代之的是让杀人时颤抖着下不去手的纠结，是艾连放弃了所有梦想只求一死的痛苦。
整个第三季高于同期的番一大截，s3e7又高于整季一大截，从配音到作画到剧情，都奇绝了。"
纸盒里的怪咖,2,2018-10-20 23:04:40,7,完全没看进去剧情（还分上下两部？hh
点击即刻爆炸,5,2019-04-06 18:48:11,14,只有特别的人能创造伟大吗？除了能巨人化，男主很普通，他会迷茫会悔恨会纠结也会懦弱，但他逐渐成长。好人坏人不是绝对的，只有相对阵营的问题。这是什么神仙漫啊。
Azeril,5,2019-08-04 01:59:26,7,上篇。核心剧情是艾伦与希斯塔利亚回归之后紧随而来的帝国内部冲突 反应到上层 就是围绕王政变革进行的激烈的派系斗争。艾伦在六年后 再一次触及尘封的往事 并知晓自己父亲的所作所为。希斯塔利亚在尤米尔与队友们的影响下 也开始成长 并最终承担起自己的新角色。教堂大战很扣人心弦 而冲击更大的 反倒还是宪兵与调查团之间的死斗。人类残暴起来 相比巨人更为可怕。
独孤行二,5,2018-07-24 14:05:54,15,王政篇漫画剧情已经足够精彩，只要不魔改就很完美。暂时没听到ED，与人斗其乐无穷。
📽Anakin🏂💨,5,2025-04-06 00:19:06,1,"上半季是阴狠的政变，伟大的调查兵团。
其实政治斗争剧情比较无感，但是利威尔戏份变多就很值五星。好多配角人物塑造都好厉害。"
风间隼,5,2021-01-09 00:45:53,4,第三季追溯民族史，开拓世界观，功不可没。人物和场面也很好，仅有一处剪辑不连贯。夺回玛利亚之墙大作战的曲折和惨烈看得人心潮澎湃，果然“真相就在铺满尸体的道路尽头”。只是调查兵团的优柔寡断让人有点失望，近乎全灭换来的战果居然就这么轻易放跑了，真是无语。
西西弗假面,3,2019-08-12 09:47:32,7,昨天深夜看完传说中最“无聊”的王政篇，漫画五六年前就是在这里弃掉的，一说到zz问题就无聊，最终boss更是鶸一只，全篇唯一的亮点在凯尼大叔，填了几个小坑然后挖了一堆更大的坑，期待一下下一期，本周开始）
R·WALKINGDEAD,5,2019-06-05 22:46:54,9,前两季就不标了，这季算步入正轨。多年以前当第一季成为霸权闭嘴番的时候，我因为“世界是残酷的啊”这种中二台词+复仇剧套路，误以为它是一部无脑热血战斗番。抱歉错怪了它。等到第三季，终于感觉到每个角色确实是有血有肉地活在这个悲伤的世界观里，探索的问题也非常多元，即使剥离了所有噱头也足够有趣。至于设定、墙内外反转，科幻作品看得够多的话其实即视感很强，所以并没有觉得多么眼前一亮。但只要故事讲得好就够了不是么。
张熊熊,5,2020-01-26 01:17:37,8,“这个世界之所以会被改变，是因为每个人都做出了选择。”
20个小明≯,4,2019-08-08 23:33:25,3,最后一集不跳ed果然是正确的，居然有彩蛋……谏山的剧作真是没得说，各种神展开……
👀,3,2021-09-27 10:15:38,2,最好看的一季
榜上有名猫,3,2019-08-09 00:28:47,7,王政篇，填坑补设定，但真的没什么感觉，忠于自己的感受给个中评。
Apotoxxxxxin.S,5,2018-11-21 18:12:18,10,别担心人类太过强大，因为我们最擅长的就是自相残杀
Panda的影音,4,2020-12-03 20:53:00,5,豆瓣高分动画剧集榜（20部全Get）：1.《瑞克和莫蒂 第一季》，2.《灌篮高手》，3.《猫和老鼠》，4.《进击的巨人 第三季 Part.2》，5.《海贼王》，6.《钢之炼金术师FA》，7.《银魂》，8.《哆啦A梦》，9.《进击的巨人 第三季》，10.《夏目友人帐》，11.《夏目友人帐 第二季》，12.《罗小黑战记》，13.《虹猫蓝兔七侠传》，14.《星际牛仔》，15.《新世纪福音战士》，16.《夏目友人帐 第三季》，17.《爱，死亡和机器人 第一季》，18.《一拳超人》，19.《虫师》，20.《进击的巨人 第二季》。
momoka,4,2018-07-23 22:50:23,5,开篇感觉怪怪的 四星观望一下
火娃,3,2018-12-09 09:45:02,7,7/10。王权篇将从墙外走回墙内，格局并未因此缩小，组成构建巨人世界的重要部分：商会对居民基本生存需求的责任，新闻界新老两人对真相报导的妥协与反抗，宪兵团被没有大局观、内斗不断的贵族们当成避免自己脏手的工具，人类因为各自的利益战斗似乎不分对错；王权篇过度冗长的信息大杂糅、长篇回忆的揭秘，到了小高潮终结得有些快，反正当初如果第一季是这样的水准，笔者肯定不会入坑，但从艾伦与希斯特利娅在打扫厨房的单独相处，到希斯特利亚被迫吃掉艾伦充当人体兵器时，她终于有了自由的意志拒绝接受父辈的罪恶担子，这一集的爆发相当精彩，虽然追巨人的热情冷却，下季值得期待。
千寻亿选,4,2022-02-13 10:10:16,0,第三季不再艾伦主线
思路乐,5,2019-07-13 23:07:40,8,【A+】伴随着王政篇的到来，《巨人》在剧情上真正有魅力的部分也缓缓揭开。即使将视角转向了人类内部的权力斗争，谏山创仍然能将剧情的张弛度保证在一个相当高的水准，在深度上也丝毫不差。当然，动画组的改编也使得原著里较多精彩的剧情以一种极其可惜的方式被“抛弃”。当然这也仅仅只是瑕疵而已，在明面上，其制作水准的优秀程度仍然能很好的掩盖这些遗憾。兵长与肯尼的对决贡献了三季以来最好的一段立体机动装置镜头，而文戏上也再创高峰，第十一集「旁观者」无论是以回收伏笔的角度，还是思想内涵的角度来说，都可以算是目前最佳的一集单集。已经迫不及待要看part2了。
陆沉,2,2021-02-16 10:00:42,4,都第三季了，艾伦还是那么令人讨厌。
AilsonAir,4,2019-02-10 12:10:36,3,（等一下，我没搞清楚这个的分季状况，所以前12集是三季上，四月份要播的是三季下？）大概巨人们也搞轮班上岗法定节假日不加班吧，行，不给你们人类添乱，你们先自己内部斗争斗争，争清楚了我们再出来捣乱。作为一个非漫画原作党，到了这里终于喜闻乐见地看到我在第一季纠结的设定问题总算是在一点点捋清，以及这才明白，艾伦输出全靠吼原来并不是调侃而是真的。给ED点一万个赞够吗？太好听了太好听了。
奔波霸的霸波奔,5,2018-07-22 13:30:28,16,看过了两集，这一季应该就是到解开巨人之谜，出现马莱了吧，打戏还是如此的帅，文戏剧情毫不拖沓，只要好好以现在的制作水平，按漫画走，注定能成为神作
脫繮的蛇肉堡,5,2019-10-19 05:38:42,2,從人vs巨人到人vs人，historia的各種行動都太？？？了啊，看到最後砍老爸那裡居然感覺只不過是青春期叛逆少女的行為而已？？？。節奏比前兩seasons要快一點都還是有點慢。roy reiss的巨人實在太tm噁心了ew⋯⋯
少年阿尔弗雷德,未评分,2018-07-23 22:48:13,4,一眼已经望到底的剧情了
17950,5,2020-04-26 15:15:18,2,年度最强TV series
GIVIND,5,2020-12-08 23:16:41,4,等好久想等一部合集sp没等到（倒是等来一部大合集sp）——不等了，马不停蹄赶在终季之前抓紧补完吧！
百五言,5,2021-04-19 19:47:47,1,2021.4.19 漫画烂尾的消息鸡飞狗跳，强忍着好奇没去了解但被迫还是知道了一些。看着第三季结尾的“最终季预计2020秋季上映”心里五味杂陈。最后拉回去看了一遍女王摔爹 团长冲锋 兵长砍猴。   也想明白一件事 ，不管怎样，我还是要去海的那一边。
南條艾草,5,2019-08-06 21:50:16,2,3期 part 1
吉尔伽美什,1,2018-09-08 11:18:05,26,一般，不带脑子看很爽，但是带了脑子看硬伤很多
开局先王炸,1,2020-12-28 17:04:06,2,巨人一律一星
说了我是黑无常,4,2019-05-28 14:29:16,3,听到教官说时间线才刚过去六个月我一阵毛骨悚然......看S1的时候的确是没想到世界观可以拔高到这种地步的，倒数二三连续两话回忆杀塑造角色兼收伏笔的功力也十足令人惊叹，这终于是个给我惊喜多过噱头的故事了。几年前无意中被剧透了季终的ed剧情以后，我就自保机制启动劝自己不要站团兵了，但看到利利用背把门扣上那一幕...终究拦不住心动的我真是个自找虐受的大傻子。
Øäåmg,3,2018-08-30 02:30:51,6,★★★☆7.5分｜这也能有9.6...看来豆瓣动漫作品评分也和b站评分一样毫无参考价值。原画、动画和第一季根本没法比，9.6分都对不起制作精良的第一季的staff
Giotto,5,2018-07-27 01:53:12,12,我他妈把这个动漫吹爆！
AARONon,5,2021-02-18 02:08:31,3,爱上了兵长 艾伦 三笠，第四季再去喜欢阿尔敏
(•̀⌄•́),5,2019-05-27 14:56:48,6,重温，就凭这op和第11集，第三季就是我心目中的最佳季😭😭😭，果然还是文戏才最打动我啊
薛同,5,2023-06-01 00:55:25,1,从这里开始喜欢三笠了
且歌且走,4,2019-01-22 23:55:22,3,前几集的政治斗争太无趣了
亲爱的猥琐猪,4,2019-09-28 12:01:11,1,推翻伪王，反抗宪兵团，揭底真巨人一脉雷斯家族的秘密。虽是恶战前的宁静过渡，但又必不可少。结束于玛利亚墙封堵战前夜，地下室的秘密留给下一季。OP和ED难得比较缓和，甚至没有出现什么巨人画面。剧情上，虽然兵不血刃的布局有点简化，但矛盾的逻辑还算合理。不是被巨人，而是被人类干掉的调查兵团队员令人唏嘘。
雨王拧发条鱼,5,2018-08-26 19:21:49,7,不管，巨人都是五星🤣
橘 きよあき,2,2021-01-29 22:34:12,6,期待了三季的世界真相就這？好他媽無聊啊
芦哲峰,5,2019-07-30 13:53:07,3,巨人只是大，实则不可怕。坏人才可怕，全是坏心眼。这一季与人斗，其乐无穷，离真相越来越近。
艾晨,5,2019-07-12 10:49:09,0,这一季文戏为主，画面上没有前两部那么燃，但是角色的过往遭遇依然是惨得不能再惨。最大的问题依然保留着。
解意,5,2021-02-08 12:41:24,2,这一季的OST一边温柔一遍炸裂，跪了。兵长又帅气又温柔，补番的我大哭，爷青回。
Jaqen H'ghar,5,2019-07-24 21:15:51,1,最后一集画风突然ppt
Lanita,5,2018-07-23 15:47:17,4,回来了！我哭了！生活又有了新的盼头！
老罗Lazzaro,5,2020-12-23 22:17:30,1,内部斗争。凯尼出场。推翻伪政。巨人化秘密。终结雷斯家族命运。阿克曼家族力量之谜。外墙夺还战开始。
arlmy,4,2019-02-17 11:23:16,0,2.15 仍未展开到最妙的地方
鬥戰勝蛛,4,2019-06-30 02:15:56,2,几周前看完忘MARK，最大的感想是剧情终于不再挤牙膏，解开了一部分谜底。
AAA二流观众,5,2018-11-13 16:17:14,4,从战斗场面分镜到人性和政治寓言无一处不牛逼。后“死火海” 时代的少漫新神作。
我是小狗,4,2022-03-18 16:09:12,0,"雷斯家的巨人
真是丑的一逼阿
一家是想成为神的人
一家是不需要与众不同的人"
T.V.Zoe ி,4,2025-10-08 10:05:34,0,超展开 排场真大 兵长牛逼 比较喜欢这一季的OP
一只云,5,2018-08-08 23:33:21,5,经历了前几集的拖沓，后面终于回归了巨人的超高水准，一样的令人兴奋，恨不得一集一小时
Don🌏,5,2020-10-30 23:39:55,1,思想深邃，情节引人，画面震撼！
Boléro,5,2018-11-01 12:31:22,2,前面的剧情都快忘了，还是愉快地追起了新的一季。还是那么热血那么燃，剧情反转和悬疑伏笔还是熟悉的味道。
一杯柠檬茶,5,2022-11-30 14:30:00,1,"“人心藏着整个世界的败坏”，这季完全在描写战争环境下的人们的心理状态，有的人为了权利利益相互争斗，有的人只想到外面的世界看看是否有更美好的可能，有的人仅仅想要安守一方田地，享受面包和红酒。引出了主角们的身世，政变，女性的弑父形象出现，很惊喜。日本动画版的“权利的游戏”精彩程度完全不分轩轾。还注意到设计的小细节，有一些BDSM元素的出现。还蛮符合本作的一些cult风格的。关于亲情友情的热血和感动一直都有。本季新出场的人物们是不同于主角年纪的中年大叔们，也都各自有魅力和出彩。#2022电视剧79,评分：A。"
Kazia,3,2018-10-30 23:44:10,4,12集ed结尾发生了啥！！！！！！！！发生了啥？？？？？？？？为啥兵长打了艾伦，为啥三笠把兵长按在地上拿刀指着？？？？？？为啥感觉全世界就剩他们三个了？？？？？？？？玛利亚之墙没拿回来还是看到地下室的秘密了？？？？？？？？
Doublebitch,5,2018-10-23 14:02:56,7,战斗画面比前两季强了不是一星半点儿，听说后面12集要明年4月才播，等吧
末の天蝎,5,2018-11-21 08:49:02,4,文戏比打斗部分更精彩的一季，补充的回忆细节部分让剧情人物都更加丰满了，绝赞。
明镜菩提,4,2019-07-04 13:17:14,0,热血，暴力，惨烈。
Gu.,2,2019-06-12 06:37:57,3,莫名其妙。直线型智商下降
鱼耳朵,4,2018-10-27 10:54:32,5,这季明显进入状态要慢一些，相比于完美的上一季，这季更多的是讲述历史、解释哲理，也是巨人的存在感最低的一季，但给下季留了一个更吸引人的伏笔；但这季让我意识到这部漫画不是阴暗残忍，而是真正的热血与追求自由的表达~·~
